1749,9,8,9,8,up,up,"[{""positionX"": 9, ""positionY"": 13}, {""positionX"": 9, ""positionY"": 12}, {""positionX"": 9, ""positionY"": 11}, {""positionX"": 9, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 9}]"
1750,10,13,9,7,up,up,"[{""positionX"": 9, ""positionY"": 12}, {""positionX"": 9, ""positionY"": 11}, {""positionX"": 9, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 9}, {""positionX"": 9, ""positionY"": 8}]"
1751,10,13,9,6,up,up,"[{""positionX"": 9, ""positionY"": 12}, {""positionX"": 9, ""positionY"": 11}, {""positionX"": 9, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 9}, {""positionX"": 9, ""positionY"": 8}, {""positionX"": 9, ""positionY"": 7}]"
1752,10,13,9,5,up,up,"[{""positionX"": 9, ""positionY"": 11}, {""positionX"": 9, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 9}, {""positionX"": 9, ""positionY"": 8}, {""positionX"": 9, ""positionY"": 7}, {""positionX"": 9, ""positionY"": 6}]"
1753,10,13,10,5,up,right,"[{""positionX"": 9, ""positionY"": 10}, {""positionX"": 9, ""positionY"": 9}, {""positionX"": 9, ""positionY"": 8}, {""positionX"": 9, ""positionY"": 7}, {""positionX"": 9, ""positionY"": 6}, {""positionX"": 9, ""positionY"": 5}]"
1754,10,13,10,6,right,down,"[{""positionX"": 9, ""positionY"": 9}, {""positionX"": 9, ""positionY"": 8}, {""positionX"": 9, ""positionY"": 7}, {""positionX"": 9, ""positionY"": 6}, {""positionX"": 9, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 5}]"
1755,10,13,10,7,down,down,"[{""positionX"": 9, ""positionY"": 8}, {""positionX"": 9, ""positionY"": 7}, {""positionX"": 9, ""positionY"": 6}, {""positionX"": 9, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 6}]"
1756,10,13,10,8,down,down,"[{""positionX"": 9, ""positionY"": 7}, {""positionX"": 9, ""positionY"": 6}, {""positionX"": 9, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 6}, {""positionX"": 10, ""positionY"": 7}]"
1757,10,13,10,9,down,down,"[{""positionX"": 9, ""positionY"": 6}, {""positionX"": 9, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 6}, {""positionX"": 10, ""positionY"": 7}, {""positionX"": 10, ""positionY"": 8}]"
1758,10,13,10,10,down,down,"[{""positionX"": 9, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 6}, {""positionX"": 10, ""positionY"": 7}, {""positionX"": 10, ""positionY"": 8}, {""positionX"": 10, ""positionY"": 9}]"
1759,10,13,10,11,down,down,"[{""positionX"": 10, ""positionY"": 5}, {""positionX"": 10, ""positionY"": 6}, {""positionX"": 10, ""positionY"": 7}, {""positionX"": 10, ""positionY"": 8}, {""positionX"": 10, ""positionY"": 9}, {""positionX"": 10, ""positionY"": 10}]"
1760,10,13,10,12,down,down,"[{""positionX"": 10, ""positionY"": 6}, {""positionX"": 10, ""positionY"": 7}, {""positionX"": 10, ""positionY"": 8}, {""positionX"": 10, ""positionY"": 9}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 11}]"
1761,10,13,10,13,down,down,"[{""positionX"": 10, ""positionY"": 7}, {""positionX"": 10, ""positionY"": 8}, {""positionX"": 10, ""positionY"": 9}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 11}, {""positionX"": 10, ""positionY"": 12}]"
